Policy Date,Repo,Change,Type,CPI,CPI_Change,Expected,Pre_Return,Day_Before_Return,Same_Day_Return,Post_Return,Month_Advance_Return,Surprise,Average_pre,Average post,Average day before,Average same day,Average Month
2019-01-05,6.5,0.0,Cut,139.6,-0.5,Cut,-0.012100000000000003,0.0052,0.0,0.0087,0.004999999999999998,No,-0.012100000000000003,0.0087,0.0052,0.0,0.004999999999999998
2019-02-07,6.25,-0.25,Cut,139.9,0.30000000000001137,Hike,0.0154,0.0117,0.0006,-0.0217,-0.023600000000000003,Yes,0.0154,-0.0217,0.0117,0.0006,-0.023600000000000003
2019-04-04,6.0,-0.25,Cut,141.2,0.799999999999983,Hike,0.0018000000000000004,-0.0059,-0.0039,0.0063999999999999994,0.011299999999999998,Yes,0.0018000000000000004,0.0063999999999999994,-0.0059,-0.0039,0.011299999999999998
2019-04-13,6.0,0.0,Cut,141.2,0.799999999999983,Hike,-0.0018999999999999998,0.004,0.0,0.0094,0.006100000000000001,Yes,-0.0018999999999999998,0.0094,0.004,0.0,0.006100000000000001
2019-06-06,5.75,-0.25,Cut,142.9,0.9000000000000057,Hike,0.0084,0.0,-0.0148,0.0103,0.0006999999999999975,Yes,0.0084,0.0103,0.0,-0.0148,0.0006999999999999975
2019-07-06,5.75,0.0,Cut,144.2,1.299999999999983,Hike,0.0019000000000000006,-0.0114,0.0,-0.019199999999999995,-0.0451,Yes,0.0019000000000000006,-0.019199999999999995,-0.0114,0.0,-0.0451
2019-08-07,5.4,-0.3499999999999996,Cut,145.0,0.8000000000000114,Hike,-0.0027999999999999987,0.0079,-0.0085,0.023299999999999998,0.023799999999999995,Yes,-0.0027999999999999987,0.023299999999999998,0.0079,-0.0085,0.023799999999999995
2019-10-04,5.15,-0.25,Cut,147.2,1.3999999999999773,Hike,-0.0173,-0.004,-0.0123,0.012499999999999999,0.036199999999999996,Yes,-0.0173,0.012499999999999999,-0.004,-0.0123,0.036199999999999996
2019-10-12,5.15,0.0,Cut,147.2,1.3999999999999773,Hike,0.011799999999999998,0.0063,0.0,0.0247,0.05069999999999999,Yes,0.011799999999999998,0.0247,0.0063,0.0,0.05069999999999999
2020-01-04,5.15,0.0,Cut,150.2,-0.20000000000001705,Cut,-0.0013999999999999993,-0.0045,0.0,-0.0005999999999999964,0.0022000000000000058,No,-0.0013999999999999993,-0.0005999999999999964,-0.0045,0.0,0.0022000000000000058
2020-03-27,4.4,-0.75,Cut,148.6,-0.5,Cut,0.00039999999999999064,0.0389,0.0022,-0.0456,0.044999999999999984,No,0.00039999999999999064,-0.0456,0.0389,0.0022,0.044999999999999984
2020-03-28,4.4,0.0,Cut,148.6,-0.5,Cut,0.0025999999999999908,0.0022,0.0,-0.0456,0.07549999999999998,No,0.0025999999999999908,-0.0456,0.0022,0.0,0.07549999999999998
2020-04-11,4.4,0.0,Cut,151.4,2.8000000000000114,Hike,0.1242,0.0,0.0,-0.013000000000000001,0.0814,Yes,0.1242,-0.013000000000000001,0.0,0.0,0.0814
2020-04-17,4.4,0.0,Cut,151.4,2.8000000000000114,Hike,-0.013000000000000001,0.0076,0.0305,-0.0079,-0.003700000000000014,Yes,-0.013000000000000001,-0.0079,0.0076,0.0305,-0.003700000000000014
2020-05-22,4.0,-0.4000000000000003,Cut,150.9,-0.5,Cut,-0.002499999999999996,0.0044,-0.0074,0.0306,0.09290000000000002,No,-0.002499999999999996,0.0306,0.0044,-0.0074,0.09290000000000002
2021-03-27,4.0,0.0,Cut,156.8,0.20000000000001705,Hike,-0.015799999999999998,0.0127,0.0,0.024900000000000002,0.009000000000000005,Yes,-0.015799999999999998,0.024900000000000002,0.0127,0.0,0.009000000000000005
2021-05-22,4.0,0.0,Cut,160.4,2.5999999999999943,Hike,0.0337,0.0181,0.0,0.0107,0.040400000000000005,Yes,0.0337,0.0107,0.0181,0.0,0.040400000000000005
2022-04-08,4.0,0.0,Cut,170.1,2.4000000000000057,Hike,-0.001299999999999999,-0.0094,0.0082,-0.017499999999999998,-0.029999999999999992,Yes,-0.001299999999999999,-0.017499999999999998,-0.0094,0.0082,-0.029999999999999992
2022-05-04,4.4,0.4000000000000003,Hike,171.7,1.5999999999999943,Hike,-0.0103,0.0,-0.0229,-0.022699999999999998,-0.0322,No,-0.0103,-0.022699999999999998,0.0,-0.0229,-0.0322
2022-05-21,4.4,0.0,Cut,171.7,1.5999999999999943,Hike,0.0313,0.0289,0.0,-0.005900000000000001,-0.003400000000000002,Yes,0.0313,-0.005900000000000001,0.0289,0.0,-0.003400000000000002
2022-06-08,4.9,0.5,Hike,172.6,0.9000000000000057,Hike,-0.0127,-0.0092,-0.0037,-0.0358,-0.03029999999999999,No,-0.0127,-0.0358,-0.0092,-0.0037,-0.03029999999999999
